actor_id,actor_name,role,movie_id,imdb_id,movie_name,nett_gross,verdict
2,Akshay Kumar,Actor,715,tt0255111,Dhadkan,140200000.0,Average
2,Akshay Kumar,Actor,714,tt0242519,Hera Pheri,123550000.0,Average
2,Akshay Kumar,Actor,2264,tt0230347,Jaanwar,106450000.0,Semi Hit
2,Akshay Kumar,Actor,2375,tt0111068,Sangharsh,59700000.0,Below Average
2,Akshay Kumar,Actor,2429,tt0282275,Zulmi,27425000.0,Flop
2,Akshay Kumar,Actor,2444,tt0196635,International Khiladi,88800000.0,Below Average
2,Akshay Kumar,Actor,2445,tt0284811,Aarzoo,55950000.0,Flop
2,Akshay Kumar,Actor,2544,tt0286488,Barood,48500000.0,Flop
2,Akshay Kumar,Actor,2547,tt0288427,Angaaray,28300000.0,Flop
2,Akshay Kumar,Actor,2578,,Keemat,51800000.0,Flop
2,Akshay Kumar,Actor,2621,tt0225029,Aflatoon,54700000.0,Flop
2,Akshay Kumar,Actor,2641,tt0162480,Mr. & Mrs. Khiladi,93650000.0,Semi Hit
2,Akshay Kumar,Actor,2661,tt0251426,Tarazu,32625000.0,Flop
2,Akshay Kumar,Actor,2669,tt0289685,Daava,33600000.0,Flop
2,Akshay Kumar,Actor,2680,tt0251143,Insaaf - The Final Justice,37125000.0,Flop
2,Akshay Kumar,Actor,2698,tt0119491,Lahoo Ke Do Rang,51550000.0,Flop
2,Akshay Kumar,Actor,2738,tt0135641,Sapoot,66075000.0,Flop
2,Akshay Kumar,Actor,2793,tt0246729,Khiladiyon Ka Khiladi,143850000.0,Super Hit
2,Akshay Kumar,Actor,2802,tt0117983,Tu Chor Main Sipahi,61950000.0,Below Average
2,Akshay Kumar,Actor,2988,tt0114317,Sabse Bada Khiladi,93950000.0,Hit
2,Akshay Kumar,Actor,2973,tt0292606,Nazar Ke Samne,12675000.0,Flop
2,Akshay Kumar,Actor,3004,tt0267703,Maidan-E-Jung,42175000.0,Flop
2,Akshay Kumar,Actor,3014,tt0290258,Paandav,17325000.0,Flop
2,Akshay Kumar,Actor,3049,tt0290213,Hum Hain Bemisaal,30150000.0,Flop
