imdb_id,title,year,rating,votes
tt0156444,Daal Me Kala,1964,6.0,21
tt0361796,Khatarnaak,1990,5.3,80
tt0065882,Ilzam,1970,-,-
tt10465524,A Gift of Love: Sifar,2019,8.0,29
tt0378273,Lubna,1982,-,-
tt3099196,Prem Ki Ganga,1971,-,-
tt1455811,Khatta Meetha,2010,5.7,"9,698"
tt7559200,My Friend's Dulhania,2017,6.4,26
tt2924464,Sajan Ka Dard,1995,-,-
tt3874790,Karunamoyee,1978,-,-
tt11007050,#Yaaram,2019,4.4,34
tt6634944,The Jinx,2017,6.0,12
tt2656176,Shuruaat,1993,-,-
tt0039654,Neel Kamal,1947,7.7,75
tt0260207,Mujhe Insaaf Chahiye,1983,6.5,45
tt6016672,Mirza Juuliet,2017,4.1,100
tt0244988,Badi Didi,1939,-,-
tt0267613,Jawab,1995,4.2,43
tt4201796,Ichchhaye Hazar,2000,-,-
tt0091471,Mangal Dada,1986,-,-
tt0230055,Bulandi,2000,5.4,624
tt0148375,Khilona,1970,7.2,324
tt0216065,Panihari,1946,-,-
tt4373886,Sharafat Gayi Tel Lene,2015,4.9,272
tt0247176,Arab Ka Saudagar,1956,-,-
tt0449893,Daku Aur Police,1992,-,-
tt2649796,Mamta,1977,-,-
-,Popcity,,-,-
tt3058294,Tu Hi Kaali Tu Hi Durga,1976,-,-
tt4457500,Badla,2004,-,-
tt2663746,Khoonkar Darinde,2000,-,-
tt0934414,Dal: The Gang,2001,5.5,6
tt0214402,Aangan,1959,6.6,31
tt0157150,Veer Babruwahan,1950,-,-
tt3142232,Heropanti,2014,5.3,"8,222"
tt3544314,Bhim Garjana,1989,-,-
-,Satyameva Jayate 2,2021,-,-
tt1202517,Barah Aana,2009,6.8,"1,145"
tt0451614,Aamne Samne,1982,6.4,53
tt0274888,Stage,1951,-,-
tt0067742,Sharmeelee,1971,7.0,151
tt1286636,Sinhal Dweep Ki Sundari,1960,-,-
tt0831840,Ahista Ahista,2006,7.0,"1,474"
tt0269434,Keemti Aansoo,1935,-,-
tt4807830,Lipstick Under My Burkha,2016,6.8,"6,288"
tt0961069,Nasoor,1985,6.2,11
tt0378325,Manzoor,1949,-,-
tt0289685,Daava,1997,4.5,562
tt5308442,Kharidaar,1978,-,-
tt3635538,Sabar,1996,-,-
tt0247911,Aap Mujhe Achche Lagne Lage,2002,3.1,"2,330"
