imdb_id,title,year_of_release
tt10773736,Bewafa Ki Khatir,1993
tt0371638,Divya Drishti,2002
tt1661866,Putlibai,1999
tt4201936,Mahatma,1998
tt0374117,Peechha Karro,1986
tt3182034,Kala Chor,1956
tt9477100,Anyaya,1949
tt3074322,Dilawar,1966
tt2804896,Toofan Rani,1985
tt0155762,Iran Ki Ek Raat,1949
tt2679078,Zinda Dil,2005
tt4332804,The Power of Woman: Tezaab,2004
tt3508160,Shiv Ganga,1988
tt0958839,Fariyad,1964
tt11570586,Mannu Dhakad Man,2006
tt0388293,Nai Umar Ki Nai Fasal,1965
tt3688740,Dreams Hopes and Bollywood,2014
tt0214059,Road No. 303,1960
tt0380017,Tada,2003
tt8336814,Zindagi Tumse,2019
tt2033264,Hair is Falling: A Serious Comedy Film,2011
tt2658660,Club Dancer,2016
tt2626088,Meri Mohabbat Mera Naseeba,1995
tt4428624,Heroine Ek Raat Ki,1979
tt0111595,Vayu,1994
tt0232260,Palki,1967
tt0176313,Vallah Kya Baat Hai,1962
tt3693794,Rikshawala,1960
tt8983166,Panga,2020
tt0257827,Kaamyaab,1984
tt4460432,Bhoot Bangla,1999
tt0240006,Sohni Mahiwal,1933
tt2073098,The Bhai,2012
tt0178199,Aapas Ki Baat,1981
tt4799548,Oot Patang,1955
tt11557920,Kosha,2020
tt3713682,Avaidh Sambandh,1999
tt1642195,Dosh,2007
tt0177484,Aadmi Aur Apsara,1991
tt0156930,Ram Rajya,1943
tt4723176,Mr. Qartoon M. A.,1958
tt5289170,Laali Ki Shaadi Mein Laaddoo Deewana,2017
tt4509312,Mission 369,1991
tt0375998,Nav Bharat,1934
tt3841888,Menka,2001
tt0356535,Dil Ki Basti,1949
tt0357768,Hum Ek Hain,1969
tt0213707,Hazaar Raaten,1953
tt0379503,Shri Satyanarayan,1935
tt4778800,Ma Amba Gabbarwali,1976
tt0156710,Kismet,1956
tt0211514,Mera Dost,1969
tt0362204,Supari,2003
tt5494960,Zara Si Bhool A Small Mistake,2015
tt5004736,The Real Wife,2016
tt3673658,Kolumpo,2013
tt4544414,Pravaasi Mandir,2002
tt11617422,Senapati,2007
tt4756300,Main Cabrewali,2005
tt3745914,Pyar Ka Tarang,2000
tt0388751,Bajrang Bali,1956
tt3743396,Bali Umar,2000
tt4975876,Farz Ki Pukaar,1999
tt2489240,Pyasi Atma,1998
tt3748300,"Kahani Nadan Umar Ki, ",2000
tt1703807,Depth of Pyaar,2019
tt4695016,Thodi Thodi Si Manmaaniyan,2017
tt4550894,Saathi: The Companion,2005
tt1058549,Mahfil,1981
tt6958030,1921,2018
tt13130532,Footfairy,2020
tt9052936,Blank,2019
tt3001312,Bombay Police,1992
tt0230828,Sultana Daku,1972
tt2690720,Anaar,1986
tt12199912,Champa,1945
tt3437390,Sunehre Qadam,1966
tt4185396,Woh Hain Gumnaam,2003
tt0379259,Dhuwandhar,1935
tt11663360,Situationship,2019
tt0060319,Do Dilon Ki Dastaan,1966
tt7968344,Krina,2018
tt0151523,Meerabai,1947
tt0256112,Jantar Mantar,1964
tt0479674,Gumnam Qatil,2001
tt8389906,Hinsa Par Vijay,2015
tt4978768,Shiv Puran,1995
tt7926824,When Obama Loved Osama,2018
tt0378645,Ram Ki Ganga,1984
tt0449390,Shobhayatra,2004
tt0361864,Madhur Murli,1933
tt11369688,Sheol,2020
tt0358246,Vada Tera Vada,1974
tt4276604,Ek Raat Shaitan Ke Saath,2004
tt0102001,Haque,1991
tt0158183,Sant Raghu,1957
tt0266482,Dorangia Daku,1940
tt3544306,Brij Sundari,1989
tt4461926,Deliyans,2017
tt0359136,Davedar,1982
tt3658908,Jai Maa Vaishno Devi,1994
tt2900678,Police Station,1991
tt9269548,Take Care,2016
tt3100468,Sasta Khoon Mehnga Pyar,1970
tt5310788,Toofan Mail,1955
tt0156555,Garib Pariwar,1936
tt14354812,Dekh Mujhe Bhi - Syed Fardeen and Shweta Jean,2021
tt0471142,Dahshat,2000
